Question,Answer
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,THE PHALARIS MINOR CAN BE CONTROLLED IN CHILLI WITH HOEING ONLY.
control of worm in bhindi?,
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
seed rate of moong?,15kg per acre for 668and 12kg per acre for 832.
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
asking about weather forcasting?,it may be rainfall on 2rd april
HOW TO CONTROL YELLOW RUST IN WHEAT?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
varieties of bhindi?,"punjab-8,7 padmani"
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
Flower Problem In grep plant?,Not requmended any medicen
Pest in wheat crop,ppray the confidor 80ml in 100liter water/acre
new varieties of paddy?,"PR-121,PR-122."
weather news of amritser,"cloudhy weather in amritser,"
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
information regarding to suitable varieties of mungbean,"p.a.u.-911, m.l.-613, m.l.--818- varieties of mungbean"
information regarding to weather in amritsar dist.,20-30% chance of rain next 2 days in amritsar dist.
information regarding to seed rate of sorghum,20-25 kg seed /acre for fodder sorghum
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
information regarding to control of maize borer in sorghum,forate 3 kg /acre in sorghum
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
information regarding to control of jassid in chilli,spray of malathion 50 e.c. 400 m.l.+80-100 ltr water /acre in chilli
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
weather of amritsar ?,cloudy weather .
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,REFER TO UNIVERSITY.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) OR FOLICUR(TEBUCANOZOLE)@ 200 ML IN THE 200 LITRES OF WATER/AC
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP,PLS SPRAY 250ML DELTAMETHRIN IN 150LITRE WATER/ACRE."
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,"A: THE IMPROVED VARIETIES OF[SPRING/SUMMER]BHINDI-:PUNJAB-8,PUSA SAWANI,PUSA PADMINI,PUNJAB 7."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"THE SUITABLE VARIETIES OF SUMMER MAIZE-LONG DURATION VARIETIES-PMH-1,PARBHAT,SHORT DURATION VARIETIES-PMH-2,JH-3459."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,"THE SUITABLE VARIETIES OF SQUASH MELON(TINDA) IS -TINDA-48,ARKA TINDA."
WEATHER IN AMRITSAR?,CHANCES OF RAIN.
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
problem of wilting in bettel gourd?,spray roko(thiophante methyl 70%wp) 1gm in 1 liter water.
